Time period start,Rule name,Accounts actioned,Accounts suspended,Content removed
2019H2,Abuse/harassment,602622,94608,944209
2019H2,Child sexual exploitation,264625,257768,11026
2019H2,Civic integrigy,1721,0,2146
2019H2,Hateful conduct,970109,170994,1445469
2019H2,Illegal or certain regulated goods or services,60807,56236,37361
2019H2,Impersonation,181800,168061,16505
2019H2,Non-consensual nudity,17769,4960,36664
2019H2,Private information,22523,3527,34564
2019H2,Promoting suicide or self-harm,127736,5612,142930
2019H2,Sensitive media,146356,17525,150767
2019H2,Terrorism/violent extremism,86799,86799,0
2019H2,Violence,45447,34196,49172
2019H1,Abuse/harassment,308452,54059,542959
2019H1,Child sexual exploitation,246642,245341,2751
2019H1,Civic integrigy,1305,0,1714
2019H1,Hateful conduct,629095,103316,1036230
2019H1,Impersonation,139283,126176,16961
2019H1,Non-consensual nudity,8494,3117,22292
2019H1,Private information,15956,2844,25000
2019H1,Promoting suicide or self-harm,99158,4419,113494
2019H1,Sensitive media,105422,10896,108664
2019H1,Terrorism/violent extremism,95887,95887,0
2019H1,Violence,47642,36266,53344
2018H2,Abuse/harassment,188504,42643,330397
2018H2,Child sexual exploitation,457231,455651,2777
2018H2,Civic integrigy,2028,0,2333
2018H2,Hateful conduct,364355,69891,661329
2018H2,Non-consensual nudity,8130,2626,15080
2018H2,Private information,8172,1882,12997
2018H2,Promoting suicide or self-harm,60462,3840,75468
2018H2,Sensitive media,89561,10147,86700
2018H2,Terrorism/violent extremism,106446,106446,0
2018H2,Violence,36691,24326,43734
